organisation,city,addressbook_id,description,image1,showhotel,image2,image3,image4,starcategories_id,cuisine,bars,restaurants,checkout,accessrail,accessair,accessbus,advantage,logo,rooms,ac,roomfacility,otherfacility,services,creditcards,fhra,WebWriteUp1,WebWriteUp2,url,Metatype,Descr,Keywords,Display,CheckIn,ChildExtraBed,Pets,Bedroom,HotelView,Outdoors,Amenities,Activities,LivingArea,Media,Food,Internet,Parking,HotelServices,General,Chk_BF_Incl,Chk_Board,Chk_ChildFree,Chk_Restaurant,Chk_Bar,Chk_BusiCentre,Chk_Parking,Chk_Swim,Chk_Laundry,Chk_Fitness,Chk_Sauna,Chk_AC,Chk_Heating,Chk_Wifi,Chk_MiniBar,Chk_Phone,Chk_Security,Chk_Smoke,Chk_Cable
"Estuary Island",Poovar,2155,,,,,,,,,,,,,,,,,,,,,,,,,,estuary-island,,"Estuary Island in Poovar - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hotel May Fair",Darjeeling,2156,,,,,,,,,,,,,,,,,,,,,,,,,,hotel-may-fair,,"Hotel May Fair in Darjeeling - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hotel Surya",Varanasi,2158,,,,,,,,,,,,,,,,,,,,,,,,,,hotel-surya,,"Hotel Surya in Varanasi - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rashmi Guest House",Varanasi,2161,"No hotel in Varanasi has a better location, high above the river close to the Main Ghat with fabulous views, best appreciated form the rooftop ""Dolphin"" restaurant. The rooms are plain and simple, though the best of these also enjoy the great views over the river. It can only be reached via the narrow lanes of the Old City, so you have to walk to get here, and there are many steep steps, but for those willing to forgo luxuries, the difficulty of access is more than made up for by the spectacular location. ",,,,,,2,,,,"12:00 Noon",,,,,,16,,,,,,,,,rashmi-guest-house,"If you want to experience the real magical atmosphere of the holy city Varanasi, than book your accommodation in Palace on River, Rashmi guesthouse. It is the perfect place to be, right in the center of all spiritual activities and ceremonies. The boat trips on the Ganges depart from right outside the door. The rooms are small but clean, including the bathrooms. The Dolphin restaurant is famous for its good food and the rooftop terrace has amazing views over the Ganges. ","Rashmi Guest House in Varanasi - Travel in India | Travellers Palm",,1,"12:00 Noon","0-1 Years Stay for free if using existing bedding. Note, if you need a cot there may be an extra charge
2-12 Years Must use an extra bed
Guests over 12 years old are considered as adults.
",,,,,,Massage,,,"Restaurant
",,,"24-hour room service,airport transfer,laundry service,restaurant,tours
",,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Hotel Bundelkhand Riverside",Orchha,2162,"Built on the same extensive grounds as the old hunting lodge of the Maharaja of Orchha, Bundelkhand Riverside is an atmospheric hotel built on the banks of the Betwa River. The hotel is a two storey structure built and furnished using stone and wood crafted by hand. The historic atmosphere, along with the swimming pool and abundant greenery, compensate greatly for the short 2km drive or riverside walk from the main sights of Orchha.",,,,,,3,,,,"12:00 Noon",,,,,,24,,,,,"Visa , Mastercard",,"Formerly the Maharajah of Orchha's country retreat, Bundelkhand Riverside has an apparent aristocratic heritage. It is a wonderful building in Mughal design built around a lawned courtyard. 

The rooms are housed in the broad corridors that wrap themselves around a large central lawn. These corridors are topped by cupolas decorated with glazed tiles, a trademark of Bundelkhandi architecture.

The rooms have been carefully furnished. The heavy wooden doors are elaborately carved and the narrow windows are inset with coloured glass. Bright hand block printed cotton covers the beds and the floors bear traditional handwoven cotton ""dhurries"" (carpets).

The lawn and the small pool offer good options for relaxation and the open terraces on top of the corridors are a great spot from which to watch the sunset. The restaurant - the 'Turquoise Diner' - is charmingly decorated in blue and serves Anglo-Indian cuisine of the Raj era.",,hotel-bundelkhand-riverside,"Built on the same extensive grounds as the old hunting lodge of the Maharaja of Orchha, Bundelkhand Riverside is an atmospheric hotel built on the banks of the Betwa River. ","Hotel Bundelkhand Riverside in Orchha - Travel in India | Travellers Palm","bundelkand riverside, orchha, hotel, special places, madhya pradesh",1,"12:00 Noon","Free! One child under 5 years stays free of charge when using existing beds.
One further child from 5 to 12 years is charged 25 % of the room stay per night in an extra bed
One further older child or adult is charged 40 % of the room stay per night in an extra bed.
There is no capacity for extra beds in the room.
Supplements are not calculated automatically in the total costs and will have to be paid for separately during your stay.
","Pets are allowed on request. Charges may be applicable.","Wardrobe/Closet, Dressing Room",,"Outdoor pool, Garden, Terrace, Balcony",,"Fishing, Canoeing, Cycling, Diving","Fireplace, Seating Area, Sofa, Desk, Dining area",Telephone,"Restaurant (� la carte), Restaurant (buffet)
","No internet access available.","Free! Free public parking is possible on site (reservation is not needed).","Room service, 24-hour front desk, Tour desk, Luggage storage, Laundry, Dry cleaning, Ironing service
","Non-smoking rooms, Air conditioning, Tile/Marble floor, Fan, Private entrance
",0,0,5,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
"Lutyens Guest House",Delhi,2163,"The Lutyens Bungalow is located in the plush green environs of New Delhi. Built  in 1935, its colonial architecture and mature gardens make it a fairly picturesque property.  Run by the family as a guest house for the last 30 years, all the rooms have every amenity as well as the feeling of being at home. The historical and tree-lined area of Lutyens Delhi has been designated a Heritage Zone, and is within strolling distance of the outstanding Lodhi Gardens as well as the Safdarjung Tomb.",,,,,,,,,,,,,,,,,,,,,,,,,lutyens-guest-house,"The Lutyens Bungalow is located in the plush green environs of New Delhi. Built  in 1935, its colonial architecture and mature gardens make it a fairly picturesque property.  Run by the family as a guest house for the last 30 years, all the rooms have every amenity as well as the feeling of being at home. The historical and tree-lined area of Lutyens Delhi has been designated a Heritage Zone, and is within strolling distance of the outstanding Lodhi Gardens as well as the Safdarjung Tomb.","Lutyens Guest House in Delhi - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cama Rajputana Club","Mount Abu",2164,"The Cama Rajputana club is a venerable 135 year old building, built in colonial style. Wide verandahs give shade and peace from where one can admire the hills and the gardens spread over 18 acres on various levels. 

The lobby still radiates a colonial atmosphere. There is also a Billiards room, complete with the original 100 year old table. There is a large swimming pool in the gardens and a well equipped gym and Ayurvedic massage centre.",,,,,,,,,,,,,,,,,,,,,,,"Hill stations were the invention of the British, who could not withstand the summer heat in the plains and thus created small communities in the cool hills. These hill stations became lively places in the summers with hectic entertaining, parties, concerts and hunting parties. Mount Abu became the summer capital during the British Raj and the Rajputana Club was the centre of activity.

After Independence the Club gradually became a dilapidated place. Fortunately, Jehangir Cama, a hotelier from Ahmedabad, bought the Club and restored it into a unique heritage resort with stunning panoramic views and beautifully landscaped gardens.

The Cama Rajputana club has several fascinating features such as a Billiards room, complete with the original 100 year old table..There is also a quintessentially English lounge with deep armchairs, a live fire in the winters, and a library containing rare books as old as the building itself.

The rooms are all in stone cottages on one side of the property. Extensively renovated recently, they now sport soothing colours and lighting. They are all spacious with well designed modern bathrooms.  Each room has a private balcony or a sit-out which leads to the gardens and the pool.

The restaurant serves Indian, Chinese and Continental food. There is a large bar on the terrace with great views. In addition, the extensive sports facilities involve cricket grounds, tennis courts, a volleyball court and indoor games - a table tennis table and a card room. There is a large swimming pool in the gardens with a well equipped gym and Ayurvedic massage centre.",,cama-rajputana-club,"The Cama Rajputana club is a venerable 135 year old building - built in colonial style. ","Cama Rajputana Club in Mount Abu - Travel in India | Travellers Palm","cama rajputana club, mount abu, rajasthan, heritage hotel, special places",1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hotel Marina Towers",Chennai,2166,"Marina Towers is a modern three-star hotel with 112 well furnished and spacious air-conditioned rooms. 

The lobby is an inviting blue, tinted with green. Art works with a sea-and-music theme adorn the walls, giving a pleasant first impression of Marina Towers. 

The multi-cuisine restaurant is named `Seven,' denoting the seven basic notes in Carnatic music. The Upper Deck is a lounge bar with a sea and beach theme.",,,,,,,,,,,,,,,,,,,,,,,"Marina Towers is a modern three-star hotel located at a convenient distance from Chennai's railway stations and is 16 kms from the airport.

The lobby is an inviting blue, tinted with green. The raised seats and couches, the cascade that gracefully falls over a glass slope, and art works with a sea-and-music theme adorning the walls, give a pleasant first impression of Marina Towers.

If the lobby and rooms follow a beach theme, at the restaurant, it's music. The multi-cuisine restaurant is named `Seven,' denoting the seven basic notes in Carnatic music. Portraits of the Trinity and eminent Carnatic musicians and musical instruments enhance the ambience at `Seven.' 

The Upper Deck is a lounge bar with the sea as the theme again, with fibre optic lights in the floor, an oar and a boat on the wall, shells embedded in the tables and fishing nets making up the roof.",,hotel-marina-towers,"Marina Towers is a three star hotel close to the Egmore and Central railway stations in Chennai, and 16 km from the airport. ","Hotel Marina Towers in Chennai - Travel in India | Travellers Palm","marina towers, hotel, chennai, tamil nadu, special places",1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Park Premier",Gurgaon,2167,"This ultra-modern hotel has a spanking white lobby, set off by splashes of colour provided by plush cushions, curtains and flowers floating in marble urns. 

On the mezzanine floor, overlooking the lobby are the two restaurants; a coffee shop and a specialty grill restaurant.

The rooms are exceedingly well appointed - with the highest quality of furnishing and beddings and judicious use of colour. ",,,,,,,,,,,,,,,,,,,,,,,"The Park Premier is an excellent superior hotel at affordable prices.

All rooms have a flat screen television, minibar, a writing desk and chair. The bathrooms are elegant and come with every modern convenience. The materials used are of high quality throughout and the finish is superb. 

TThe hotel has a swimming pool which is under an atrium, thus keeping the temperature of the water warm enough to be used even in Delhi winters. For those traveling on work, there is wifi internet in all areas of the hotel, and a fully fledged business centre.",,park-premier,"This ultra-modern hotel has a spanking white lobby, set off by splashes of colour provided by plush cushions, curtains and flowers floating in marble urns. ","Park Premier in Gurgaon - Travel in India | Travellers Palm","park premier, gurgaon, delhi, hotel, special places, rajasthan, golden triangle",1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Royal Court",Madurai,2169,"Royal Court is a moderate business hotel in the heart of Madurai; within walking distance of the Meenakshi temple, the flower market, and the newer shopping areas, an area which dominates Madurai's spiritual and social life.

The rooms are pleasant, with modern furniture and wooden floors, colourful hand painted tiles and scenes from Indian life on the walls, and sleek bathrooms of steel and glass. There is a rooftop restaurant with excellent views of the city.",,,,,,4,,,,12:00,,,,,,69,,,,,"American Express, Visa, Mastercards",,"The rooms at Royal Court have crisp clean sheets on comfortable beds, cosy armchairs and classic sofas in rich reds and greens. The Royal Executive rooms have the added feature of a glass walled bathroom and an all glass countertop and washbasin as well. The wood paneled floors make the rooms warm and inviting.

The hotel also offers modern amenities such as central air conditioning, satellite television and 24 hour room service.

The 'Crystal' restaurant offers Indian and Continental food and is very pleasant space with pretty flower tinted floor tiles and a glittering chandelier. But in the evenings you will probably prefer to dine in the rooftop restaurant, which has been converted into a veritable garden with flowering plants and bottle palms.",,royal-court,"Royal Court is a moderate business hotel in the heart of Madurai; within walking distance of the Meenakshi temple which dominates Madurai's spiritual and social life, the flower market, and the newer shopping areas. ","Royal Court in Madurai - Travel in India | Travellers Palm","royal court, hotel, madurai, tamil nadu, special places",1,12:00,"Free! All children under 5 years stay free of charge when using existing beds.
One older child or adult is charged INR 900 per person per night in an extra bed.
The maximum number of extra beds in a room is 1.
There is no capacity for cots in the room.
Supplements are not calculated automatically in the total costs and will have to be paid for separately during your stay.","Pets are not allowed.",Wardrobe/Closet,,Terrace,,"Fitness centre, Bicycle rental, Bikes available (free)","Seating Area","Cable Channels, Satellite Channels, Flat-screen TV, Telephone","Restaurant (� la carte), Restaurant (buffet), Special diet menus (on request), Tea/Coffee Maker","Free! WiFi is available in all areas and is free of charge.","Free! Free private parking is possible on site (reservation is not needed).","Room service, Packed lunches, Airport shuttle, Car hire, Shuttle service (free), 24-hour front desk, Express check-in/check-out, Currency exchange, Tour desk, Ticket service, Luggage storage, Concierge service, Lockers, Laundry, Dry cleaning, Ironing service, Shoeshine, Trouser press, Daily maid service, Meeting/banquet facilities, Business centre, Fax/photocopying, Barber/beauty shop, VIP room facilities, Bridal suite, Wake-up service","Newspapers, Safety deposit box, Mini-market on site, Facilities for disabled guests, Hardwood/Parquet floors, Air Conditioning, Safety Deposit Box, Interconnected room(s) available",0,0,5,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1
"Karnot Mahal",Jaipur,2176,,,,,,,,,,,,,,,,,,,,,,,,,,karnot-mahal,,"Karnot Mahal in Jaipur - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nimaj Palace",Nimaj,2180,"The small town of Nimaj, located between Ajmer and Jodhpur, is home to a lovely 18th century palace, Jagram Durg, now renamed Nimaj Palace. 

The approach to Nimaj Palace in through narrow market streets but once inside the compound, it is a different story. Stately palms line the formal gardens and the whitewashed facade of the palace is imposing with delicately carved pavilions and jharokha windows. Inside the palace, various buildings are joined by a series of terraces and open air courtyards.",,,,,,,,,,,,,,,,,,,,,,,"The Nimaj Palace has recently undergone a complete refurbishment. By enlarging the original rooms, the Nimaj Palace is now an all suite hotel. The large suites make use of light colours and polished stone floors to give the rooms a look of contemporary beauty with royal touches.

Most rooms have Rajasthani architectural touches like arches and windows with coloured glasses. The fabrics are traditional but sport modern colours and re-interpreted motifs, creating a very pleasant and soothing feel.",,nimaj-palace,"The small town of Nimaj, located between Ajmer and Jodhpur, is home to a lovely 18th century palace, Jagram Durg, now renamed Nimaj Palace. ","Nimaj Palace in Nimaj - Travel in India | Travellers Palm","nimaj palace, rajasthan, heritage hotel, suites, special places",1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wildernest,Goa,2181,"About an hour and half drive from the beaches of North Goa, and surrounded by hills and forests, Wildernest is for the true nature lover. 

The resort offers wooden cottages, each with a sit-out or a verandah to enjoy the views. There are naturalist-guided walks and hikes. For the more sedate guests, there is a swimming pool with the most dramatic views in Goa.",,,,,,,,,,,,,,,,,,,,,,,"Far away from the beach, where Goa borders its neighbours, Maharashtra and Karnataka, lies the Wildernest resort. Wildernest is set on over 450 acres of forest land overlooking the stunning Swapnagandha Valley.

Many may have heard of the mineral mines that have destroyed so much of Goa's hills and forests. Well, Wildernest is a case where one such denuded hill was re-planted by someone with his priorities (and heart) in the right place. Today, the 300 acres are thickly covered once again with continuous efforts at re-forestation. The hills are once again alive with the sound of birds and other wildlife. 

One of the founders is young Nirmal Kulkarni, Goa's best known conservationist and naturalist. Nirmal has worked long and hard in these hills and is a true champion of Goa's ecology. 

But is the resort attractive to a tourist who may not be so keen to be involved in any ecological struggle while they are on a holiday? The answer is yes! There are naturalist led walks and hikes for the intrepid. For the more sedate guests, there is the swimming pool, possibly the most dramatic in Goa. Seeming to hang over the several hundred feet deep valley below and surrounded by high green hills, the swimming pool is the single biggest attraction of Wildernest.

The cottages, named after fragrant local flowers, are spread in the light woods around the main restaurant/lounge area. They are entirely wooden, with high ceilings, comfortable beds and spacious bathrooms. Each cottage has a sit-out or a verandah overlooking either the forest or the valley below. Both views are magnificent. 

The resort employs only local people from these hilly areas. The staff members are warm and simple and extremely eager to share the many delights of the resort and its surrounding area. 

So, if you would like to explore Goa beyond the usual sun drenched beaches, travel up to Wildernest. An enchanting experience awaits you.",,wildernest,"About an hour and half drive from the beaches of North Goa, and surrounded by hills and forests, Wildernest is for the true nature lover. ","Wildernest in Goa - Travel in India | Travellers Palm","wildernest resort, hills, naturalist, nature walks, hikes, eco hotel",1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Annamalai International",Pondicherry,2182,,,,,,,,,,,,,,,,,,,,,,,,,,annamalai-international,,"Annamalai International in Pondicherry - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hotel Sea Breeze",Mamallapuram,2183,"Situated at the busy and colourful end of Mahabalipuram, the Sea Breeze hotel is a no-fuss, unpretentious place located right on the beach and complete with a swimming pool and some cosy sea facing cottages. 

Located at the end of the line of shops and restaurants of Mahabalipuram, the resort manages to maintain its peace and quiet while having the local buzz just a few steps away.",,,,,,3,,,,11:30,,,,,,72,,,,,,,"The cluster of sea facing cottages is placed a little away from the rest of the hotel so as to give unrestricted views of the palm trees and sea beyond. The cottages are large and airy with a cool granite floor that helps as the day heats up. The bathrooms are similarly large and well ordered. Despite being fairly simply done up, the rooms have a charm of their own. The balcony outside with its easy chairs is particularly appealing and you will without doubt spend long hours there.

Since the beach at Mahabalipuram, along with most of the eastern coastline of India, is often too dangerous to swim in, the pool at Sea Breeze is a good place to cool off at. 

When you get hungry you can head to the hotel's multi-cuisine restaurant which serves fresh sea food and other local delicacies. Just ten minute walk along the market road will take you to a dozen or so eateries. 

The days end fairly early in Mahabalipuram, with not much night life to be had and a whole day's sunshine and historical sights to wake up to, so after that last Pina colada, you'll be glad to head back to the silence of your cottage and sink gratefully into the large bed.",,hotel-sea-breeze,"Situated at the busy and colourful end of Mahabalipuram, the Sea Breeze hotel is a no-fuss, unpretentious place located right on the beach and complete with a swimming pool and some cosy sea facing cottages. ","Hotel Sea Breeze in Mamallapuram - Travel in India | Travellers Palm","sea breeze, hotel, mamallapuram, beach, cottages, special places",1,12:00,"infant 0-1 year(s)Stay for free if using existing bedding. Note, if you need a cot there may be an extra charge.
Children 2-10 year(s)Stay for free if using existing bedding.
Guests over 10 years old are considered as adults.",,,,"Graden,Outdoor pool, Pool ( Kids)",,,,,,"free Wi-Fi in all rooms","car park is available.","24-hour front desk,24-hour room service,airport transfer,bar,BBQ facilities,car hire,car park,coffee shop,concierge,currency exchange
facilities for disabled guests,family room,laundry service,lockers,
luggage storage,meeting facilities,newspapers,poolside bar,restaurant
room service,safety deposit boxes,smoking area,tours",,0,0,9,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0
"Om Niwas",Jaipur,2184,"An unusual hotel offering spacious apartments, Om Niwas is located in a leafy residential area not far from Jaipur's attractions. 

A sister hostelry of the famous Arya Niwas, Om Niwas is a comfortable and aesthetically pleasing hotel. Ideal for long staying guests, the apartments are all self-contained. 

A major attraction here is the terrace garden with a carefully tended lawn and a riot of flowering plants in neat rows.",,,,,,,,,,,,,,,,,,,,,,,"Each apartment at Om Niwas has a well appointed kitchen with tea/coffee maker, a fridge and a cozy dining area. The bedrooms are pleasant with comfortable beds. Every apartment has at least one balcony making the rooms light and airy. Heating is supplied in the winters and all bedrooms have air-conditioning. 

There is a small dining area in the basement and a lawn at the front, although the terrace garden is very inviting too. 

With its tasteful interiors and peaceful ambience, Om Niwas is a good place to retire to away from the hectic Jaipur city life.",,om-niwas,"An unusual hotel offering spacious apartments, Om Niwas is located in a leafy residential area not far from Jaipur's attractions. ","Om Niwas in Jaipur - Travel in India | Travellers Palm","om niwas, jaipur, rajasthan, service apartment, hotel, special places",1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jaiwana Haveli",Udaipur,2186,,,,,,,,,,,,,,,,,,,,,,,,,,jaiwana-haveli,,"Jaiwana Haveli in Udaipur - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hotel Meraden Grand",Varanasi,2187,"Located in the relatively quiet Cantonment area, this modern mid range hotel has pleasant rooms with modern furnishings and good facilities.

The hotel has a large open lobby which leads to a pleasant caf� in a bright, attractive atrium. There is also an enclosed restaurant to the rear, with an ""open"" kitchen. Upstairs is a large well stocked bar - a rarity in religious Varanasi!",,,,,,4,,,,"12:00 Noon",,,,,,40,,,,,"American Express, Visa & Mastercard",,,,hotel-meraden-grand,,,,1,"14:00 Hrs","Free! One further child under 5 years stays free of charge when using existing beds.
One further older child or adult is charged INR 1500 per person per night in an extra bed.
The maximum number of extra beds in a room is 1.
There is no capacity for cots in the room.
Any type of extra bed or child's cot/crib is upon request and needs to be confirmed by management.
Supplements are not calculated automatically in the total costs and will have to be paid for separately during your stay.
","Pets are not allowed",,,,,,,"Cable Channels, Satellite Channels, Telephone, TV","Restaurant, Bar, Snack bar, Tea/Coffee Maker
","Free! WiFi is available in all areas and is free of charge.","Free! Free private parking is possible on site (reservation is not needed).","Room service, Airport shuttle, Shuttle service (surcharge), 24-hour front desk, Express check-in/check-out, Tour desk, Ticket service, Concierge service, Laundry, Dry cleaning, Meeting/banquet facilities, Business centre, Fax/photocopying
","Newspapers, Air conditioning
",1,0,5,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1
"Hotel Pradeep",Varanasi,2188,,,,,,,,,,,,,,,,,,,,,,,,,,hotel-pradeep,,"Hotel Pradeep in Varanasi - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krishna Prakash Heritage Haveli",Jodhpur,2189,"In the heart of the Old City, immediately below Meherangarh Fort, Krishna Prakash Heritage Haveli is an authentic haveli which has been converted into a heritage hotel which now attracts a varied international clientele. The present family carried out the restoration of their ancestral home taking care to retain the integrity of its original style. The hotel has 28 air-conditioned rooms with attached bathrooms. The rooftop terrace offers splendid views and is a popular gathering place in the evenings.",,,,,,,,,,,,,,,,,,,,,,,"With the Mehrangarh Fort just as the backdrop and a history similar to the fort, this place is a real gem. The rooms in this hotel make you feel like you are in an old palace. The service is wonderful and the owners take pride in sharing their family history with the guests.

Built in 1902, Krishna Prakash Heritage Haveli has delicately carved exteriors and simple yet comfortable interiors. It has fort view rooms, decorated in traditional Jodhpuri style, and a fort facing restaurant. It also has a swimming pool to cool you down in the hot summer.",,krishna-prakash-heritage-haveli,"Situated just below the impressive Meherangarh Fort, the Krishna Prakash Heritage Haveli is an authentic haveli which has been lovingly resorted into a heritage hotel. ","Krishna Prakash Heritage Haveli in Jodhpur - Travel in India | Travellers Palm","krishna prakash heritage haveli, jodhpur, rajasthan, special places",1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Suncourt Hotel Yatri",Delhi,2190,,,,,,,,,,,,,,,,,,,,,,,,,,suncourt-hotel-yatri,,"Suncourt Hotel Yatri in Delhi - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haveli Guest house",Jodhpur,2191,,,,,,,,,,,,,,,,,,,,,,,,,,haveli-guest-house,,"Haveli Guest house in Jodhpur - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pushp Villa",Agra,2192,"Pushp Villa is a medium-range hotel, located in a quiet area 5 minutes drive from the Taj Mahal whilst Agra Fort is just 3 km away from the hotel. The hotel has a spacious lobby area, well furnished air-conditioned rooms, a 24 hour coffee shop, a bar and a revolving multi-cuisine restaurant on the top floor which affords good views of the Taj Mahal.",,,,,,,,,,,,,,,,,,,,,,,,,pushp-villa,"Pushp Villa is a medium-range hotel, located in a quiet area 5 minutes drive from the Taj Mahal whilst Agra Fort is just 3 km away from the hotel. The hotel has a spacious lobby area, well furnished air-conditioned rooms, a 24 hour coffee shop, a bar and a revolving multi-cuisine restaurant on the top floor which affords good views of the Taj Mahal.","Pushp Villa in Agra - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The President",Mysore,2193,,,,,,,,,,,,,,,,,,,,,,,,,,the-president,,"The President in Mysore - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seven Seventeen",Darjeeling,2194,"Conveniently located in the heart of the town, Hotel Seven Seventeen is an inviting 3-star hotel in Darjeeling run by a very hospitable Tibetan family. Apparently all family members were born or passed away on the 7th or 17th of any month of the Gregorian calendar, hence the name Seven Seventeen! All rooms have wall to wall carpeting and attached bathrooms and they are decorated in traditional Tibetan style. The hotel has an excellent restaurant which serves great Tibetan meals.",,,,,,,,,,,,,,,,,,,,,,,,,seven-seventeen,"Conveniently located in the heart of the town, Hotel Seven Seventeen is an inviting 3-star hotel in Darjeeling run by a very hospitable Tibetan family. Apparently all family members were born or passed away on the 7th or 17th of any month of the Gregorian calendar, hence the name Seven Seventeen! All rooms have wall to wall carpeting and attached bathrooms and they are decorated in traditional Tibetan style. The hotel has an excellent restaurant which serves great Tibetan meals.","Seven Seventeen in Darjeeling - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hotel Sunstar Heritage",Delhi,2195,,,,,,,,,,,,,,,,,,,,,,,,,,hotel-sunstar-heritage,,"Hotel Sunstar Heritage in Delhi - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hotel Sunstar Residency",Delhi,2196,,,,,,,,,,,,,,,,,,,,,,,,,,hotel-sunstar-residency,,"Hotel Sunstar Residency in Delhi - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fort Madhogarh",Madhogarh,2198,"Fort Madhogarh is fabulously situated atop a lone hill in the plains. 
From the rampart walls you can have breathtaking views of the surrounding countryside. 

Madhogarh is a typical small Rajasthani town, even today communities of potters, carpenters, cobblers, carpet makers etc. can be seen plying their trade in the centuries old traditional way. 

You'll have the opportunity to explore the nearby village to get an insight into rural India.",,,,,,,,,,,,,,,,,,,,,,,"A short drive from Jaipur brings you to this quiet, rural part of Rajasthan. Fort Madhogarh  sits on top of a hill with excellent views of the entire countryside. The chief job of the forts, of course, was to offer shelter from marauding armies. Therefore the forts were all prepared for battle - and the location was of paramount importance. 

The same turrets, terraces and ramparts which created the defensive barriers, today can be enjoyed for the sunrise and sunset views. Breakfast in Madhogarh is often served on the turrets - making it a surreal experience. 

The fort is recently turned into a heritage hostelry and is run by a very charming young couple, Shiv and Cutie, who personally supervise every aspect of running their home. 

A series of small courtyards bring you the central area. A semi enclosed lounge with  comfortable deep sofas and chairs opens out here. On the opposite side is a small platform where traditionally musicians sat to entertain the family and guests as they had their meals. This tradition still continues and you will be serenaded by a very local singer, and old man, accompanied by his shy daughter-in-law and young grandson. 

The rooms on the upper level are accessed by a few different staircases. Each room is different, with its own character. All rooms have en-suite facilities. The rooms are done in a style that matches the fort - traditional wooden furniture and hand-block printed fabrics. Some rooms sport the original frescoes and arches. The attached bathrooms have modern facilities.",,fort-madhogarh,"Fort Madhogarh is fabulously situated atop a lone hill in the plains. ","Fort Madhogarh in Madhogarh - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
